VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,FAC_DEL,DOM,EST,UPM,FAC_DEL_AM,CLUSTERS
5,1,1,1,2,1,14,1,5,1,1,4,1,2,2,4,2,1,178,1,5,107,178,0
5,1,1,1,4,1,14,1,11,1,1,1,2,2,2,5,2,1,202,1,6,45,202,0
2,1,1,1,2,3,14,1,11,1,1,3,1,2,2,3,2,1,170,1,4,106,169,0
2,1,1,1,8,5,14,1,10,1,1,2,2,1,2,7,2,1,1225,1,5,52,1218,0
1,1,2,2,4,1,14,1,1,1,1,1,2,2,2,4,2,1,147,1,4,7,146,0
3,1,1,1,6,1,14,1,12,1,1,4,2,2,2,3,2,1,404,1,6,105,404,0
1,1,1,1,1,1,14,1,5,1,1,1,1,2,1,4,2,1,149,1,5,54,149,0
2,1,1,1,10,1,14,1,10,1,1,2,2,1,2,9,2,1,180,1,5,103,180,0
3,1,1,2,4,4,14,1,4,1,1,4,2,1,2,7,2,5,178,1,4,256,178,0
5,1,1,1,7,1,14,1,1,1,1,2,8,1,2,5,1,5,404,1,6,45,404,0
5,1,1,1,3,1,14,1,4,1,1,2,2,1,2,9,2,1,164,1,4,251,163,0
1,1,1,1,2,2,14,1,7,1,1,4,1,2,1,4,2,1,178,1,4,256,178,0
4,1,1,1,4,1,14,1,1,1,1,2,2,2,2,6,1,1,172,1,4,104,173,0
3,1,1,1,2,1,14,1,11,1,1,1,1,2,2,5,2,1,202,1,6,105,202,0
3,1,1,1,5,3,14,1,10,1,1,3,1,1,2,7,2,1,688,1,4,104,692,0
2,1,1,1,2,1,14,1,5,1,1,3,2,1,2,6,2,1,172,1,4,104,173,0
5,1,2,2,3,1,14,1,11,1,1,3,3,1,2,4,2,1,180,1,4,30,180,0
2,1,2,2,2,3,14,1,8,1,1,4,1,1,2,5,2,1,166,1,5,29,165,0
5,1,1,1,9,1,14,1,4,1,1,2,2,1,2,7,2,3,360,1,5,75,362,0
2,1,1,1,9,1,14,1,1,1,1,1,1,1,2,3,2,5,214,1,6,109,214,0
5,1,1,1,10,1,14,1,2,1,1,2,2,1,1,4,1,3,193,1,4,44,193,0
5,1,1,1,2,8,14,1,7,1,1,4,1,1,2,6,2,1,172,1,4,104,173,0
4,1,1,2,2,2,14,1,2,1,1,4,1,2,2,6,2,2,168,1,5,145,168,0
3,1,1,1,9,3,14,1,11,1,1,4,1,1,2,3,2,1,504,1,5,145,504,0
5,1,1,1,14,1,14,1,4,1,1,4,2,1,1,4,2,2,193,1,4,44,193,0
1,1,1,1,2,2,14,1,11,1,1,2,1,2,1,4,2,1,172,1,6,191,172,0
1,1,1,1,2,2,14,1,12,1,1,4,3,2,2,8,2,1,130,1,4,200,130,0
1,1,1,1,2,6,14,1,5,1,1,4,1,2,2,4,2,1,191,1,4,175,192,0
5,1,1,1,3,1,14,1,2,1,1,3,2,1,2,3,2,1,167,1,4,247,167,0
2,1,1,1,2,1,14,1,7,1,1,2,1,2,2,4,2,1,180,1,6,198,180,0
1,1,1,1,8,4,14,1,12,1,1,1,2,1,2,7,1,3,772,1,6,47,772,0
5,1,1,1,9,1,14,1,6,1,1,2,2,1,2,4,1,5,190,1,4,40,191,0
5,1,1,1,3,1,14,1,7,1,1,4,1,1,2,9,2,1,197,1,5,144,197,0
4,1,1,1,3,2,14,1,12,1,1,1,1,1,2,9,2,1,180,1,4,30,180,0
2,1,1,1,9,2,14,1,6,1,1,2,2,1,2,9,2,3,340,1,4,249,340,0
1,1,1,1,9,4,14,1,99,1,1,9,2,1,2,3,2,5,552,1,5,125,552,0
3,1,2,2,4,4,14,1,11,1,1,4,2,1,2,7,2,5,178,1,4,256,178,0
4,1,1,1,2,1,14,1,4,1,1,2,5,2,2,4,2,1,176,1,5,197,177,0
5,1,1,1,11,2,14,1,6,1,1,3,1,1,2,7,2,2,342,1,6,128,340,0
3,1,1,1,2,1,14,1,11,1,1,3,1,2,1,4,2,1,174,1,5,252,173,0
4,1,2,2,2,2,14,1,9,1,1,4,1,2,2,6,2,1,168,1,5,145,168,0
2,1,2,2,3,3,14,1,9,1,1,3,1,1,2,7,2,5,176,1,5,197,177,0
1,1,1,1,10,1,14,1,8,1,1,3,2,1,2,6,2,3,180,1,5,103,180,0
5,1,1,1,8,1,14,1,10,1,1,1,2,1,2,6,2,1,362,1,5,187,362,0
2,1,1,1,7,1,14,1,8,1,1,2,5,1,2,4,2,1,203,1,6,146,203,0
3,1,1,1,3,1,14,1,10,1,1,4,2,1,2,3,2,1,172,1,6,191,172,0
3,1,1,1,1,1,14,1,9,1,1,4,1,2,1,4,1,1,190,1,4,40,191,0
11,1,1,1,11,3,14,1,5,1,1,4,1,1,2,3,2,1,573,3,3,298,180,0
4,1,1,1,8,1,14,1,3,1,1,2,4,1,2,4,1,1,314,1,5,4,314,0
1,1,1,1,3,1,14,1,2,1,1,3,2,1,2,4,2,1,202,1,6,45,202,0
3,1,2,2,2,1,14,1,8,1,1,4,1,2,2,4,2,1,190,1,4,40,191,0
4,1,1,1,9,1,14,1,99,1,1,2,2,2,2,3,2,5,266,2,2,278,180,0
3,1,1,2,2,1,14,1,8,1,1,4,1,2,2,4,2,1,190,1,4,40,191,0
5,1,3,3,6,4,14,1,6,1,1,2,1,1,2,5,2,1,764,1,6,101,764,0
1,1,1,1,2,1,14,1,6,1,1,3,1,2,2,4,2,5,219,1,4,102,220,0
1,2,1,1,2,1,14,1,2,1,1,3,1,2,2,4,2,1,178,1,4,256,178,0
4,1,1,1,9,1,14,1,10,1,1,3,2,1,2,4,2,3,528,1,5,197,531,0
4,1,1,2,2,1,14,1,11,1,1,4,1,2,1,4,2,1,181,1,4,190,182,0
12,1,1,1,2,3,14,1,4,1,1,3,1,2,2,4,2,1,216,2,1,277,180,0
5,1,1,1,2,1,14,1,12,1,1,3,1,2,2,4,2,1,133,2,2,278,180,0
3,1,1,1,5,1,14,1,6,1,1,2,1,1,2,6,1,1,167,1,4,77,168,0
2,1,1,1,1,1,14,1,10,1,1,4,1,2,1,4,2,1,180,1,4,30,180,0
3,1,1,1,2,2,14,1,11,1,1,3,1,2,2,4,2,5,165,1,5,130,164,0
4,1,1,1,8,1,14,1,5,1,1,2,4,1,2,4,2,1,266,2,2,278,180,0
2,1,1,1,3,2,14,1,2,1,1,4,2,1,1,4,2,1,170,1,4,249,170,0
12,1,1,1,8,3,14,1,2,1,1,2,4,1,2,4,1,1,648,2,1,277,180,0
1,1,1,1,2,4,14,1,6,1,1,2,1,2,2,5,2,1,137,1,5,108,137,0
1,1,1,1,9,1,14,1,8,1,1,2,1,1,2,5,2,3,366,1,5,51,368,0
1,1,2,2,2,2,14,1,4,1,1,3,1,2,2,4,2,1,177,1,5,26,176,0
2,1,1,1,13,3,14,1,12,1,1,3,5,1,2,8,2,3,516,1,6,191,516,0
5,1,1,1,7,1,14,1,11,1,1,9,9,1,2,9,2,2,394,1,5,144,394,0
2,1,1,1,2,1,14,1,5,1,1,1,1,2,2,4,2,1,183,1,4,188,184,0
1,1,1,1,2,2,14,1,12,1,1,3,2,1,2,4,2,1,220,1,4,173,221,0
2,1,1,1,9,1,14,1,11,1,1,1,2,2,2,4,2,5,591,1,5,144,591,0
2,1,1,1,2,3,14,1,11,1,1,4,1,2,2,4,2,1,197,1,6,20,197,0
1,1,1,1,2,1,14,1,7,1,1,4,1,2,2,4,2,1,185,1,5,31,185,0
2,1,1,1,2,5,14,1,6,1,1,4,1,2,1,4,2,5,175,1,5,52,174,0
5,1,1,1,3,2,14,1,5,1,1,9,2,1,2,7,2,1,170,1,4,106,169,0
3,1,1,1,4,2,14,1,8,1,1,3,2,2,2,4,2,1,175,1,6,246,174,0
5,1,2,3,6,4,14,1,5,1,1,2,1,2,2,5,2,1,764,1,6,101,764,0
7,1,3,3,2,2,14,1,99,1,1,2,1,2,2,4,2,1,178,3,3,295,180,0
2,1,1,2,3,3,14,1,7,1,1,3,1,1,2,7,2,1,176,1,5,197,177,0
1,1,1,1,2,3,14,1,10,1,1,2,1,2,2,7,2,1,187,1,5,48,188,0
2,1,1,1,9,2,14,1,11,1,1,2,1,1,2,6,1,3,516,1,4,39,518,0
3,1,1,1,2,3,14,1,3,1,1,4,1,2,2,3,2,1,168,1,5,145,168,0
7,1,1,1,1,1,14,1,12,1,1,4,1,2,1,4,2,1,133,2,2,278,180,0
1,1,3,3,2,4,14,1,9,1,1,3,1,2,1,4,2,4,138,1,5,125,138,0
1,1,1,1,4,1,14,1,6,1,1,1,2,2,2,4,2,1,163,1,5,43,163,0
1,1,1,1,8,1,14,1,4,1,1,1,2,1,2,4,1,1,636,1,5,33,636,0
2,1,1,1,1,1,14,1,3,1,1,3,1,2,1,4,1,1,165,1,5,130,164,0
5,1,1,1,10,1,14,1,2,1,1,2,3,1,2,4,1,3,404,1,6,45,404,0
5,1,1,1,9,2,14,1,10,1,1,1,2,1,2,9,2,3,340,1,4,106,338,0
5,1,1,1,3,1,14,1,5,1,1,1,3,1,2,4,2,1,202,1,6,45,202,0
5,1,2,2,2,1,14,1,9,1,1,2,1,2,2,4,2,1,180,1,4,30,180,0
1,1,1,1,11,1,14,1,9,1,1,1,3,1,2,4,2,2,306,1,4,124,304,0
4,1,1,1,4,1,14,1,6,1,1,2,2,2,1,4,2,1,189,1,5,248,190,0
3,1,1,1,2,1,14,1,9,1,1,3,1,2,2,4,2,1,203,1,6,50,203,0
4,1,1,1,9,1,14,1,9,1,1,1,2,1,2,9,2,5,692,1,5,61,692,0
2,1,1,1,10,1,14,1,12,1,1,2,1,1,2,6,2,5,342,1,4,126,340,0
1,1,1,1,3,3,14,1,8,1,1,4,2,1,2,7,2,1,169,3,3,287,180,0
2,1,1,1,10,2,14,1,12,1,1,1,1,1,2,3,2,3,519,1,5,71,519,0
3,1,1,1,5,2,14,1,7,1,1,3,1,1,2,2,1,1,356,1,5,42,358,0
2,1,1,1,6,1,14,1,12,1,1,9,2,2,2,4,2,1,358,1,6,250,360,0
1,1,1,1,3,1,14,1,11,1,1,3,1,1,2,6,2,1,165,1,5,130,164,0
2,1,1,1,2,2,14,1,4,1,1,4,1,2,1,4,2,1,170,1,4,249,170,0
4,1,1,1,7,1,14,1,10,1,1,2,2,1,2,1,2,1,177,1,5,26,176,0
5,1,1,3,6,4,14,1,2,1,1,2,1,1,2,5,2,1,764,1,6,101,764,0
1,1,1,1,2,2,14,1,8,1,1,1,2,2,2,4,2,1,170,1,4,106,169,0
5,1,1,1,4,2,14,1,8,1,1,4,2,2,2,3,2,3,170,1,4,106,169,0
1,1,1,1,3,1,14,1,4,1,1,1,1,1,2,4,2,1,175,1,6,246,174,0
3,1,1,1,9,2,14,1,6,1,1,2,2,1,2,9,2,5,880,1,5,197,885,0
4,1,1,1,9,1,14,1,11,1,1,2,3,1,1,4,2,3,404,1,6,105,404,0
2,1,1,1,10,1,14,1,12,1,1,3,1,1,2,6,2,2,318,1,4,141,316,0
1,1,1,1,3,2,14,1,7,1,1,4,2,1,2,3,2,5,172,1,6,191,172,0
5,1,1,1,3,2,14,1,4,1,1,1,1,1,2,4,2,1,185,1,5,31,185,0
4,1,1,1,4,3,14,1,99,1,1,4,2,2,2,4,2,1,191,1,4,175,192,0
1,1,1,2,4,1,14,1,6,1,1,1,2,2,2,4,2,1,147,1,4,7,146,0
1,1,1,1,2,1,14,1,4,1,1,2,1,2,2,4,2,1,176,1,5,197,177,0
1,1,1,1,5,3,14,1,4,1,1,2,1,1,2,4,2,5,492,1,4,251,489,0
3,1,1,1,7,3,14,1,11,1,1,4,9,1,2,4,2,1,573,1,6,78,576,0
7,1,2,3,2,2,14,1,99,1,1,2,1,2,2,4,2,1,178,3,3,295,180,0
1,1,1,1,3,1,14,1,12,1,1,4,2,1,2,4,2,5,184,1,4,100,185,0
1,1,1,1,4,1,14,1,4,1,1,2,2,2,1,4,2,1,176,1,5,197,177,0
4,1,1,2,4,1,14,1,11,1,1,4,2,1,2,4,2,1,180,1,5,75,181,0
2,1,1,1,5,2,14,1,6,1,1,2,1,1,2,6,1,3,516,1,4,39,518,0
2,1,1,1,2,3,14,1,1,1,1,3,1,2,2,3,2,1,176,1,5,197,177,0
15,1,1,1,9,1,14,1,11,1,1,2,2,1,2,9,2,3,266,2,2,278,180,0
5,1,1,1,2,1,14,1,2,1,1,4,1,2,2,5,2,1,180,1,5,75,181,0
5,1,1,1,9,2,14,1,1,1,1,1,3,1,2,4,2,5,370,1,5,31,370,0
3,1,1,1,2,3,14,1,11,1,1,4,1,1,2,7,2,1,172,1,4,104,173,0
5,1,1,2,3,1,14,1,5,1,1,3,3,1,2,9,2,1,180,1,4,30,180,0
2,1,1,1,4,1,14,1,6,1,1,4,2,1,2,6,2,1,175,1,6,246,174,0
4,1,2,3,4,1,14,1,9,1,1,2,2,2,2,4,1,1,191,1,5,1,192,0
2,1,1,1,2,1,14,1,6,1,1,2,1,2,2,4,2,1,179,1,6,250,180,0
5,1,2,3,2,2,14,1,7,1,1,3,5,2,2,5,2,1,152,1,5,195,152,0
1,1,1,3,2,4,14,1,99,1,1,4,1,2,2,6,2,1,138,1,5,125,138,0
1,1,1,1,3,1,14,1,3,1,1,4,2,1,2,4,2,5,165,1,4,196,166,0
3,1,1,1,7,1,14,1,12,1,1,9,9,1,2,4,2,1,609,1,6,50,609,0
3,1,1,1,3,3,14,1,99,1,1,4,2,1,2,6,2,3,186,1,5,142,186,0
5,1,2,2,5,3,14,1,1,1,1,2,1,1,1,4,1,1,555,1,4,28,555,0
2,1,1,1,3,2,14,1,12,1,1,1,2,1,2,6,1,5,162,1,4,165,162,0
5,1,1,1,4,1,14,1,4,1,1,9,2,2,2,4,2,1,177,1,4,127,178,0
3,1,1,1,6,2,14,1,11,1,1,2,1,2,2,4,2,1,668,1,5,179,668,0
3,1,1,1,4,1,14,1,11,1,1,3,2,2,1,4,2,1,164,1,4,251,163,0
2,1,1,1,2,2,14,1,4,1,1,4,1,2,2,6,2,1,183,1,5,226,183,0
5,1,1,2,9,1,14,1,8,1,1,1,1,1,2,3,2,5,168,1,5,245,167,0
4,1,1,1,2,1,14,1,10,1,1,4,1,1,2,4,2,1,164,1,5,99,164,0
1,1,3,3,2,1,14,1,4,1,1,2,1,2,2,4,2,1,175,1,6,246,174,0
12,1,1,1,2,2,14,1,2,1,1,4,1,2,2,3,2,1,240,2,232,11330,180,1
2,1,1,1,9,2,14,1,8,1,1,2,2,1,2,7,2,5,384,1,5,171,386,0
2,1,1,1,5,3,14,1,3,1,1,3,1,1,2,6,2,1,2193,1,137,6826,2205,2
1,1,1,1,10,2,14,1,8,1,1,3,1,1,2,4,2,1,510,1,4,106,507,0
5,1,1,1,2,2,14,1,3,1,1,2,1,2,2,4,2,1,180,1,6,132,180,0
3,1,1,1,7,1,14,1,4,1,1,3,4,1,2,4,1,5,250,2,1,271,180,0
3,1,1,1,2,2,14,1,10,1,1,4,1,2,2,4,2,1,176,1,5,164,177,0
2,1,1,1,4,1,14,1,11,1,1,3,2,2,2,1,2,1,154,1,5,194,154,0
4,1,1,3,4,1,14,1,11,1,1,2,2,2,1,4,1,1,191,1,5,1,192,0
1,1,1,1,1,2,14,1,11,1,1,1,2,1,1,4,2,1,178,1,4,89,178,0
2,1,1,1,3,1,14,1,6,1,1,3,2,1,2,7,2,1,178,1,5,42,179,0
3,1,1,1,3,1,14,1,7,1,1,3,1,1,1,4,2,1,164,1,4,251,163,0
4,1,1,1,3,2,14,1,11,1,1,3,1,1,2,99,2,5,199,1,5,80,198,0
2,1,1,1,2,1,14,1,9,1,1,3,1,2,2,5,2,1,185,1,4,28,185,0
5,1,3,3,2,2,14,1,8,1,1,3,5,2,2,5,2,1,152,1,5,195,152,0
5,1,1,1,2,1,14,1,11,1,1,2,1,2,2,3,2,1,179,1,5,177,179,0
3,1,1,1,4,1,14,1,7,1,1,3,2,1,2,6,2,1,181,1,5,62,181,0
3,1,1,1,3,2,14,1,6,1,1,3,2,1,2,3,2,1,180,1,4,13,181,0
11,1,1,1,2,2,14,1,4,1,1,1,2,2,2,7,2,1,193,2,232,11257,180,1
4,1,2,2,2,1,14,1,12,1,1,1,1,2,2,9,2,1,181,1,4,190,182,0
3,1,1,1,2,2,14,1,3,1,1,2,1,2,2,4,2,1,180,1,6,132,180,0
5,1,1,1,8,1,14,1,6,1,1,2,4,1,2,7,2,1,360,1,5,75,362,0
2,1,2,2,2,1,14,1,11,1,1,3,1,2,2,4,2,1,152,1,5,195,152,0
4,1,1,1,9,1,14,1,11,1,1,2,2,1,2,9,2,5,167,1,5,179,167,0
5,1,2,2,13,1,14,1,7,1,1,1,1,1,2,9,1,3,696,1,153,7304,692,1
4,1,1,1,3,1,14,1,12,1,1,2,1,1,2,4,2,1,192,1,5,171,193,0
5,1,2,2,11,1,14,1,7,1,1,4,2,1,2,9,1,2,193,1,4,44,193,0
20,1,1,1,8,2,14,1,8,1,1,2,4,1,2,6,2,1,420,2,1,275,180,0
2,1,1,1,9,1,14,1,99,1,1,2,2,1,2,6,2,3,372,1,5,142,372,0
4,1,1,1,2,3,14,1,4,1,1,3,1,2,2,4,2,1,165,1,4,196,166,0
3,1,1,1,8,2,14,1,1,1,1,9,2,1,2,7,2,2,394,1,5,144,394,0
5,1,1,1,2,2,14,1,2,1,1,4,1,2,2,4,2,1,186,1,6,186,186,0
16,1,1,1,2,1,14,1,6,1,1,3,1,2,2,4,2,1,190,3,3,297,180,0
3,1,1,1,1,2,14,1,9,1,1,2,1,2,1,4,2,1,191,1,6,101,191,0
2,1,1,1,3,2,14,1,4,1,1,4,2,1,2,3,2,1,173,1,5,71,173,0
5,1,1,1,2,2,14,1,1,1,1,4,1,2,2,4,2,1,185,1,5,31,185,0
3,1,1,1,4,1,14,1,4,1,1,2,2,2,2,6,2,1,164,1,5,99,164,0
3,1,1,1,4,2,14,1,10,1,1,1,2,1,2,6,2,5,150,1,4,22,150,0
4,1,1,1,6,1,14,1,8,1,1,3,1,2,1,4,2,1,342,1,6,128,340,0
1,1,1,1,10,2,14,1,12,1,1,3,2,1,2,9,2,3,935,1,5,257,935,0
4,1,1,1,10,3,14,1,11,1,1,2,1,1,2,6,2,3,744,1,4,81,748,0
2,1,1,1,3,1,14,1,4,1,1,4,2,1,2,4,2,1,152,1,5,195,152,0
5,1,1,1,2,2,14,1,10,1,1,4,1,2,2,5,2,1,211,1,4,172,212,0
5,1,1,1,2,1,14,1,3,1,1,1,1,2,2,4,2,1,192,1,5,171,193,0
3,1,1,1,9,2,14,1,10,1,1,2,2,1,2,1,2,3,562,1,6,162,564,0
4,1,2,2,2,3,14,1,5,1,1,3,1,2,2,4,2,1,181,1,5,187,181,0
4,1,2,2,4,1,14,1,12,1,1,4,2,1,2,4,2,1,180,1,5,75,181,0
1,1,2,3,2,4,14,1,99,1,1,4,1,2,2,1,2,1,138,1,5,125,138,0
1,1,2,3,2,1,14,1,11,1,1,2,1,2,2,4,2,1,175,1,6,246,174,0
5,1,1,1,9,3,14,1,4,1,1,2,2,1,1,4,2,3,555,1,4,28,555,0
5,1,1,1,3,1,14,1,1,1,1,1,1,1,2,5,2,5,180,1,5,75,181,0
1,1,1,1,3,2,14,1,12,1,1,4,1,1,2,3,2,1,153,1,5,88,152,0
5,1,2,2,9,1,14,1,11,1,1,2,2,1,2,3,2,5,168,1,5,245,167,0
1,1,1,3,2,1,14,1,12,1,1,4,1,2,2,4,2,1,175,1,6,246,174,0
3,1,1,1,3,2,14,1,9,1,1,3,1,1,2,7,2,5,192,1,5,171,193,0
4,1,1,1,4,1,14,1,3,1,1,2,2,2,1,4,2,1,178,1,4,143,178,0
1,1,1,1,4,1,14,1,4,1,1,1,2,2,2,4,1,1,194,1,6,228,194,0
5,1,1,1,3,1,14,1,6,1,1,3,2,1,2,4,2,5,192,1,5,171,193,0
1,1,1,1,2,3,14,1,5,1,1,1,1,1,2,6,2,1,158,1,5,83,157,0
3,1,1,1,3,1,14,1,8,1,1,4,2,1,2,4,2,1,173,1,5,71,173,0
3,1,3,3,2,2,14,1,9,1,1,4,1,2,2,6,2,1,170,1,4,161,170,0
5,1,1,1,2,1,14,1,5,1,1,3,1,2,2,4,2,1,138,1,5,125,138,0
5,1,1,1,2,2,14,1,3,1,1,1,3,2,2,6,2,1,196,1,6,212,197,0
2,1,1,1,2,1,14,1,10,1,1,1,2,2,2,4,2,1,179,1,6,85,180,0
2,1,1,1,9,2,14,1,3,1,1,3,2,1,2,6,2,5,386,1,6,94,386,0
4,1,1,1,2,3,14,1,4,1,1,3,1,1,2,1,2,1,154,1,5,194,154,0
4,1,1,1,11,2,14,1,7,1,1,2,1,1,1,4,2,3,440,1,4,173,442,0
5,1,1,3,2,2,14,1,4,1,1,2,5,2,2,5,2,1,152,1,5,195,152,0
2,1,1,1,2,2,14,1,4,1,1,3,1,2,2,4,1,1,120,1,5,220,120,0
2,1,1,1,10,3,14,1,9,1,1,1,8,1,2,8,2,3,543,1,5,187,543,0
4,1,1,1,2,3,14,1,11,1,1,4,1,2,2,7,2,1,186,1,4,81,187,0
3,1,1,1,9,2,14,1,5,1,1,2,3,1,2,9,2,3,360,1,4,13,362,0
2,1,1,1,2,2,14,1,7,1,1,3,1,2,2,4,2,1,57,1,42,2044,56,0
3,1,1,1,3,1,14,1,10,1,1,3,2,1,2,6,2,5,164,1,5,99,164,0
2,1,1,1,5,1,14,1,2,1,1,1,1,1,2,3,2,2,330,1,5,130,328,0
1,1,1,1,11,3,14,1,6,1,1,4,4,1,2,3,2,2,672,1,5,245,668,0
1,1,1,1,2,1,14,1,1,1,1,2,1,2,2,4,2,1,151,1,4,97,151,0
1,1,1,1,8,2,14,1,3,1,1,1,2,1,2,99,1,1,344,1,6,191,344,0
1,1,1,2,2,1,14,1,3,1,1,4,1,2,2,9,2,1,197,1,6,20,197,0
3,1,1,1,2,1,14,1,2,1,1,1,5,2,2,7,2,1,163,1,6,148,163,0
4,1,1,1,4,2,14,1,9,1,1,2,2,2,2,4,2,1,173,1,4,3,172,0
5,1,1,1,3,1,14,1,1,1,1,3,2,1,2,4,2,5,179,1,5,177,179,0
3,1,1,1,8,3,14,1,7,1,1,1,4,1,2,4,2,1,573,1,6,78,576,0
3,1,1,1,8,1,14,1,12,1,1,2,4,1,1,4,2,1,394,1,5,140,394,0
3,1,1,1,9,1,14,1,5,1,1,2,2,1,2,5,2,3,410,1,6,18,410,0
2,1,1,1,2,3,14,1,99,1,1,4,1,1,2,4,2,1,185,1,5,31,185,0
2,1,1,1,2,3,14,1,4,1,1,3,1,2,2,8,2,1,181,1,5,187,181,0
5,1,1,1,1,1,14,1,3,1,1,3,1,2,1,4,2,1,178,1,5,96,179,0
4,1,2,2,2,2,14,1,11,1,1,4,2,2,2,6,2,1,180,1,4,13,181,0
2,1,2,2,2,2,14,1,99,1,1,3,1,2,2,4,2,1,196,1,5,222,196,0
4,1,1,1,4,1,14,1,6,1,1,4,2,2,2,3,2,1,162,1,4,165,162,0
4,1,1,1,5,5,14,1,6,1,1,2,6,1,2,8,2,1,1176,1,5,95,1176,0
1,1,1,2,2,2,14,1,4,1,1,3,1,2,2,4,2,1,177,1,5,26,176,0
2,1,2,2,4,2,14,1,12,1,1,4,2,1,2,5,1,5,150,1,4,22,150,0
5,1,1,1,9,2,14,1,8,1,1,1,8,1,2,9,2,5,507,1,5,138,507,0
5,1,1,1,2,1,14,1,10,1,1,4,2,2,2,9,2,1,164,1,4,37,164,0
18,1,1,1,3,1,14,1,99,1,1,3,2,1,2,4,2,1,178,3,3,295,180,0
2,1,1,1,3,2,14,1,3,1,1,4,2,1,2,7,1,1,258,1,4,39,259,0
1,1,1,1,2,1,14,1,2,1,1,2,1,2,2,4,2,1,178,1,4,223,178,0
3,1,1,1,1,1,14,1,6,1,1,1,3,2,1,4,2,1,154,1,4,131,154,0
1,1,1,1,13,5,14,1,9,1,1,2,1,1,2,7,2,3,360,1,5,75,362,0
4,1,1,1,3,3,14,1,8,1,1,3,1,1,2,5,2,1,180,1,6,166,180,0
2,1,1,1,5,1,14,1,6,1,1,2,1,1,2,4,2,1,988,2,232,11342,180,1
2,1,1,1,10,4,14,1,11,1,1,1,2,1,1,4,2,3,712,1,5,238,712,0
4,1,1,1,1,1,14,1,9,1,1,4,1,2,2,9,2,1,178,1,4,223,178,0
1,1,1,1,8,1,14,1,12,1,1,9,9,1,2,5,2,1,880,1,6,224,884,0
2,1,1,2,2,1,14,1,2,1,1,2,1,2,2,4,2,1,152,1,5,195,152,0
1,1,1,1,2,1,14,1,3,1,1,4,1,2,2,4,2,1,165,1,5,130,164,0
5,2,1,1,4,1,14,1,9,1,1,2,2,2,2,4,2,1,186,1,5,142,186,0
4,1,1,1,4,1,14,1,3,1,1,1,2,2,1,4,2,1,179,1,6,123,180,0
16,1,2,2,4,6,14,1,10,1,1,4,2,1,2,6,2,1,153,3,3,284,180,0
2,1,1,1,4,1,14,1,5,1,1,2,2,2,1,4,2,3,205,1,6,18,205,0
5,1,1,2,5,3,14,1,4,1,1,2,4,1,1,4,1,1,555,1,4,28,555,0
3,1,1,1,2,2,14,1,8,1,1,3,2,2,1,4,2,1,281,1,6,162,282,0
2,1,1,1,5,1,14,1,11,1,1,4,1,1,2,3,1,1,608,1,4,244,608,0
3,1,1,1,2,1,14,1,8,1,1,4,1,2,2,7,2,1,182,1,6,243,183,0
2,1,2,2,5,3,14,1,7,1,1,3,1,1,2,1,2,1,561,1,4,158,564,0
4,1,1,1,3,6,14,1,4,1,1,4,2,1,2,6,2,1,241,1,4,229,242,0
5,1,1,1,4,1,14,1,1,1,1,1,2,2,2,4,1,1,179,1,5,177,179,0
3,1,1,1,5,1,14,1,6,1,1,1,6,1,2,4,2,1,342,1,4,87,342,0
3,1,1,1,7,2,14,1,11,1,1,2,3,1,2,6,2,1,302,1,5,32,302,0
4,1,1,2,2,3,14,1,10,1,1,3,1,2,2,5,2,1,136,1,5,9,135,0
3,1,1,1,6,3,14,1,6,1,1,2,3,1,2,6,2,1,744,1,5,142,744,0
2,1,1,1,2,2,14,1,11,1,1,3,1,2,2,5,2,1,192,1,5,171,193,0
5,1,2,2,2,2,14,1,9,1,1,4,1,2,2,6,2,1,180,1,4,58,181,0
4,1,1,1,9,2,14,1,1,1,1,2,2,1,2,3,2,3,410,1,6,18,410,0
3,1,1,1,2,1,14,1,6,1,1,4,1,1,2,6,2,1,164,1,5,99,164,0
2,1,1,1,3,3,14,1,10,1,1,4,1,1,1,4,2,1,181,1,5,187,181,0
1,1,1,1,3,1,14,1,6,1,1,4,2,1,2,6,2,5,168,1,4,221,168,0
3,1,1,1,9,2,14,1,12,1,1,2,2,1,2,6,2,2,340,1,4,161,340,0
4,1,1,1,9,1,14,1,6,1,1,3,2,1,2,6,2,5,534,1,4,239,534,0
4,1,3,3,2,4,14,1,8,1,1,2,1,2,2,4,2,1,155,1,4,10,154,0
1,1,1,1,2,3,14,1,11,1,1,2,1,2,2,4,2,1,166,1,6,139,166,0
4,1,1,1,10,1,14,1,5,1,1,2,1,1,2,1,2,3,561,1,5,36,564,0
5,1,1,1,4,2,14,1,9,1,1,4,2,2,2,4,2,1,173,1,5,12,173,0
1,1,1,1,9,1,14,1,12,1,1,2,2,1,2,3,2,5,173,1,5,12,173,0
5,1,1,1,6,2,14,1,12,1,1,2,2,2,2,9,2,1,372,1,5,142,372,0
11,1,1,4,5,1,14,1,2,1,1,1,6,1,2,3,2,1,162,3,3,283,180,0
5,1,1,1,3,1,14,1,9,1,1,4,2,1,2,6,2,5,181,1,5,187,181,0
4,1,1,2,2,3,14,1,3,1,1,4,1,2,2,4,2,1,181,1,5,187,181,0
